"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04658","Th1 and Th2 cell differentiation",41,0.653244113753237,2.70147967504195,3.27880907465273e-09,8.97201392245885e-08,5.45945243052226e-08,1164,"tags=63%, list=19%, signal=52%","916/3561/919/7535/3560/3718/864/920/4094/2353/6776/4792/6777/4773/6300/182/5600/5335/3716/6772/3460/4854/7297/4853/3725/27040"
"hsa04518","Integrin signaling",82,0.52380278563968,2.54495983510737,1.08960501872788e-08,2.73309258864243e-07,1.66308134437413e-07,951,"tags=49%, list=16%, signal=42%","5293/718/3383/3689/64098/5880/7450/3676/3687/3683/3371/3684/1293/1277/3384/7148/1278/83706/3678/3691/1292/7058/2200/1291/3693/55679/3912/3910/7040/2316/894/3913/2324/3915/5159/5154/896/1284/8440/60"
"hsa05133","Pertussis",36,0.650733834958843,2.60884708598774,1.5397862009918e-08,3.56519728075793e-07,2.16941537629614e-07,628,"tags=47%, list=10%, signal=43%","3394/929/715/718/712/3689/714/713/716/2353/710/3684/3659/717/3678/6300/29108"
"hsa04640","Hematopoietic cell lineage",25,0.73265481421364,2.70975222699941,1.97419759560947e-08,4.24452483056036e-07,2.58278482433119e-07,663,"tags=68%, list=11%, signal=61%","3575/916/921/925/1438/929/951/1436/3676/920/290/960/1435/2323/3684/3678/948"
"hsa04650","Natural killer cell mediated cytotoxicity",49,0.594734004639079,2.5719070028679,2.42886277414428e-08,4.87391796678286e-07,2.96576928211302e-07,1186,"tags=59%, list=20%, signal=48%","919/7535/5293/5579/3383/3689/5880/3683/3937/2534/7409/2207/7305/2185/3384/4773/5777/2214/637/5335/5336/6452/3455/3460/6850/7462/27040/6464/8795"
"hsa05340","Primary immunodeficiency",17,0.792275946411564,2.60638082748031,3.83090149983235e-08,7.20688344655961e-07,4.3853740853344e-07,447,"tags=59%, list=7%, signal=55%","3575/916/3561/925/7535/3718/4261/920/6891/6890"
"hsa05152","Tuberculosis",71,0.519429660262135,2.48519175823443,5.1380141707126e-08,9.0973074434382e-07,5.53569328609284e-07,1049,"tags=45%, list=17%, signal=38%","3587/11151/972/929/4261/718/3689/3687/1520/4046/2207/1051/3684/7097/64581/8844/6300/7040/8877/2214/1509/7132/637/5600/2212/1263/3716/4615/6772/3460/9902/6850"
"hsa05135","Yersinia infection",73,0.518278464887644,2.4948175977189,6.94173492098905e-08,1.16081233956539e-06,7.06351974416429e-07,1556,"tags=58%, list=26%, signal=43%","925/7535/5293/2533/7456/7454/5880/3676/920/3937/7409/2353/2185/4792/3678/4773/6300/29108/9138/5600/2212/5335/9844/10163/4615/60/23118/3984/5606/382/3725/27040/2335/10109/2776/5594/23396/4775/23365/391/5879/9815"
"hsa04610","Complement and coagulation cascades",32,0.663793437581967,2.59392474382375,7.51373131272966e-08,1.19033322375349e-06,7.24315373083081e-07,616,"tags=56%, list=10%, signal=51%","715/718/712/3689/714/7450/3687/713/716/1675/710/2/3684/719/717/5054/7056/629"
"hsa04820","Cytoskeleton in muscle cells",98,0.467684854633028,2.34593561438494,1.24559895045643e-07,1.87462642043693e-06,1.1407064072601e-06,1217,"tags=50%, list=20%, signal=41%","752/3676/2006/7431/2199/9672/161176/2192/171024/1281/1293/91010/2274/1277/1634/25802/1278/3678/10398/3339/3691/1292/7791/7058/2200/1291/4811/3693/1462/114793/2026/1290/25777/22795/7169/272/64236/85301/1284/60/633/1289/2275/3680/1282/7057/6641/7094/2335"
