"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NPIPB5",161.686076944989,-0.0762327867657626,0.151012997511268,-0.504809440393198,0.613692684576346,0.999690621664146
"EIF4E2",1051.38232394754,0.123113690391213,0.108021326273146,1.13971652301235,0.254404421138695,0.944549098296143
"C4orf26",0.611342230408231,0.160229597744164,1.37015089743575,0.116943030175754,0.906905198918717,NA
"KLHL18",503.720515092052,-0.00810708023215583,0.119143865162887,-0.0680444622228114,0.945750240543477,0.999690621664146
"CD72",55.6213485303043,0.216606868839063,0.290605891435257,0.745362964836244,0.456052326392181,0.999690621664146
"CTDSPL2",618.503250448507,0.382823153031244,0.16358748979307,2.34017377194,0.0192747693219125,0.419460485776304
"ZKSCAN5",308.966654875908,0.175228670254107,0.182254634565481,0.961449735815361,0.336326087059356,0.977629781968375
"DDX53",1.04756921918593,2.95283470721405,3.14798246139053,0.938008627249378,0.348239976522547,NA
"QTRT1",857.727843429961,-0.0759723213674899,0.217746267003951,-0.34890297965986,0.727162148144356,0.999690621664146
"KLRC1",0.263638118658038,-0.558345120767819,1.89492065360314,-0.294653562251349,0.768258540868645,NA
"SUPT7L",562.291166171504,-0.0475904150659977,0.136864376669615,-0.347719517847066,0.728050837190688,0.999690621664146
"SLC29A4",229.498253071516,0.735412951500778,0.4737339255975,1.55237552508665,0.120572396167111,0.815724572596268
"ALG10",102.739111864246,-0.0437513568856472,0.125830645401643,-0.347700329645421,0.728065249074692,0.999690621664146
"PFKFB2",563.356751785889,-0.22510064963445,0.248947687731898,-0.904208637908181,0.365884780760357,0.98731111901133
"CYTL1",13.8934338864864,0.924288578952116,1.33096421897906,0.694450358448488,0.487399822007847,0.999690621664146
"GRK4",35.2082301629592,0.416169355756904,0.37035400993779,1.1237068982372,0.261137389009087,0.949010649240713
"ANTXR1",563.737918086992,0.0612898106794613,0.281570346483845,0.217671397023258,0.827685151177226,0.999690621664146
"ELMSAN1",903.836395424731,0.221189781963712,0.145588847274526,1.51927696457841,0.128692795482275,0.831216779923024
"VPS37C",424.113144490117,-0.00212397848555498,0.0967292319719079,-0.0219579794262382,0.982481475008511,0.999690621664146
"C15orf61",63.2477931962759,-0.0741628151320167,0.211870003709521,-0.350039240258361,0.726309248794676,0.999690621664146
"P2RY4",0.543535022560779,0.158840772000966,1.62269081183793,0.0978872689992349,0.922021809301205,NA
"EGR3",10.6387937706542,0.542324658773626,0.722505536735205,0.750616612883323,0.452883420195315,0.999690621664146
"NAA50",3814.14305269116,0.00524166791020674,0.216603334692467,0.0241993869468761,0.980693567133664,0.999690621664146
"C12orf73",139.483168794494,-0.148892071813048,0.104885267074576,-1.41957088889503,0.155732645487536,0.865378382164409
"DDX26B",106.582840587453,0.169873065456502,0.301623775725523,0.56319520915714,0.573301964826853,0.999690621664146
"SH3GL3",63.155363740995,-0.523236372212466,0.54446565899776,-0.961008951741103,0.336547666871231,0.977629781968375
"PPP2CB",1048.85318505634,-0.0295563773586103,0.197182048302475,-0.149893855008906,0.880848359936168,0.999690621664146
"IDE",972.362598721441,-0.00200562276042727,0.244913190598602,-0.00818911695007219,0.99346610304798,0.999690621664146
"TNFRSF11B",228.997735804268,-0.580961815190807,0.680742603584881,-0.853423617284102,0.393424429107746,0.993356386321054
"CDH5",15.7862433010898,-0.858613782411078,0.834261980686672,-1.02918963381786,0.303390572531713,0.970582681240888
"TCEB1",822.561563440083,0.0654327845673061,0.226161028482948,0.289319450863037,0.772336928863864,0.999690621664146
"MRPL45",1686.88418617338,-0.282839613723754,0.583294256678764,-0.484900392015212,0.627747004311817,0.999690621664146
